State,data_monthid,category,Million_Vehicle_Miles,area,monthid
alabama,201808,Rural_Arterial_201807,1582,rural,201807
alabama,201808,Urban_Arterial_201807,2229,urban,201807
alabama,201808,All_Arterial_201807,6105,all,201807
alaska,201808,Rural_Arterial_201807,157,rural,201807
alaska,201808,Urban_Arterial_201807,212,urban,201807
alaska,201808,All_Arterial_201807,516,all,201807
arizona,201808,Rural_Arterial_201807,984,rural,201807
arizona,201808,Urban_Arterial_201807,3142,urban,201807
arizona,201808,All_Arterial_201807,5409,all,201807
arkansas,201808,Rural_Arterial_201807,1117,rural,201807
arkansas,201808,Urban_Arterial_201807,1320,urban,201807
arkansas,201808,All_Arterial_201807,3284,all,201807
california,201808,Rural_Arterial_201807,3664,rural,201807
california,201808,Urban_Arterial_201807,21193,urban,201807
california,201808,All_Arterial_201807,30228,all,201807
colorado,201808,Rural_Arterial_201807,1081,rural,201807
colorado,201808,Urban_Arterial_201807,2445,urban,201807
colorado,201808,All_Arterial_201807,4479,all,201807
connecticut,201808,Rural_Arterial_201807,162,rural,201807
connecticut,201808,Urban_Arterial_201807,2101,urban,201807
connecticut,201808,All_Arterial_201807,2900,all,201807
delaware,201808,Rural_Arterial_201807,261,rural,201807
delaware,201808,Urban_Arterial_201807,438,urban,201807
delaware,201808,All_Arterial_201807,1005,all,201807
district of columbia,201808,Rural_Arterial_201807,0,rural,201807
district of columbia,201808,Urban_Arterial_201807,176,urban,201807
district of columbia,201808,All_Arterial_201807,246,all,201807
florida,201808,Rural_Arterial_201807,2097,rural,201807
florida,201808,Urban_Arterial_201807,10402,urban,201807
florida,201808,All_Arterial_201807,18623,all,201807
georgia,201808,Rural_Arterial_201807,1855,rural,201807
georgia,201808,Urban_Arterial_201807,5187,urban,201807
georgia,201808,All_Arterial_201807,10588,all,201807
hawaii,201808,Rural_Arterial_201807,103,rural,201807
hawaii,201808,Urban_Arterial_201807,480,urban,201807
hawaii,201808,All_Arterial_201807,980,all,201807
idaho,201808,Rural_Arterial_201807,665,rural,201807
idaho,201808,Urban_Arterial_201807,528,urban,201807
idaho,201808,All_Arterial_201807,1758,all,201807
illinois,201808,Rural_Arterial_201807,1754,rural,201807
illinois,201808,Urban_Arterial_201807,4893,urban,201807
illinois,201808,All_Arterial_201807,9212,all,201807
indiana,201808,Rural_Arterial_201807,1841,rural,201807
indiana,201808,Urban_Arterial_201807,2952,urban,201807
indiana,201808,All_Arterial_201807,8394,all,201807
iowa,201808,Rural_Arterial_201807,1353,rural,201807
iowa,201808,Urban_Arterial_201807,979,urban,201807
iowa,201808,All_Arterial_201807,3126,all,201807
kansas,201808,Rural_Arterial_201807,963,rural,201807
kansas,201808,Urban_Arterial_201807,1043,urban,201807
kansas,201808,All_Arterial_201807,2937,all,201807
kentucky,201808,Rural_Arterial_201807,1414,rural,201807
kentucky,201808,Urban_Arterial_201807,1388,urban,201807
kentucky,201808,All_Arterial_201807,3875,all,201807
louisiana,201808,Rural_Arterial_201807,1264,rural,201807
louisiana,201808,Urban_Arterial_201807,2406,urban,201807
louisiana,201808,All_Arterial_201807,4744,all,201807
maine,201808,Rural_Arterial_201807,549,rural,201807
maine,201808,Urban_Arterial_201807,308,urban,201807
maine,201808,All_Arterial_201807,1413,all,201807
maryland,201808,Rural_Arterial_201807,627,rural,201807
maryland,201808,Urban_Arterial_201807,3875,urban,201807
maryland,201808,All_Arterial_201807,5985,all,201807
massachusetts,201808,Rural_Arterial_201807,236,rural,201807
massachusetts,201808,Urban_Arterial_201807,4267,urban,201807
massachusetts,201808,All_Arterial_201807,5733,all,201807
michigan,201808,Rural_Arterial_201807,1927,rural,201807
michigan,201808,Urban_Arterial_201807,4665,urban,201807
michigan,201808,All_Arterial_201807,8681,all,201807
minnesota,201808,Rural_Arterial_201807,1542,rural,201807
minnesota,201808,Urban_Arterial_201807,2421,urban,201807
minnesota,201808,All_Arterial_201807,5327,all,201807
mississippi,201808,Rural_Arterial_201807,1219,rural,201807
mississippi,201808,Urban_Arterial_201807,1096,urban,201807
mississippi,201808,All_Arterial_201807,3787,all,201807
missouri,201808,Rural_Arterial_201807,2022,rural,201807
missouri,201808,Urban_Arterial_201807,2749,urban,201807
missouri,201808,All_Arterial_201807,6837,all,201807
montana,201808,Rural_Arterial_201807,742,rural,201807
montana,201808,Urban_Arterial_201807,318,urban,201807
montana,201808,All_Arterial_201807,1552,all,201807
nebraska,201808,Rural_Arterial_201807,857,rural,201807
nebraska,201808,Urban_Arterial_201807,627,urban,201807
nebraska,201808,All_Arterial_201807,1974,all,201807
nevada,201808,Rural_Arterial_201807,458,rural,201807
nevada,201808,Urban_Arterial_201807,1224,urban,201807
nevada,201808,All_Arterial_201807,2463,all,201807
new hampshire,201808,Rural_Arterial_201807,345,rural,201807
new hampshire,201808,Urban_Arterial_201807,573,urban,201807
new hampshire,201808,All_Arterial_201807,1269,all,201807
new jersey,201808,Rural_Arterial_201807,274,rural,201807
new jersey,201808,Urban_Arterial_201807,4636,urban,201807
new jersey,201808,All_Arterial_201807,6490,all,201807
new mexico,201808,Rural_Arterial_201807,900,rural,201807
new mexico,201808,Urban_Arterial_201807,775,urban,201807
new mexico,201808,All_Arterial_201807,2605,all,201807
new york,201808,Rural_Arterial_201807,1476,rural,201807
new york,201808,Urban_Arterial_201807,6667,urban,201807
new york,201808,All_Arterial_201807,11083,all,201807
north carolina,201808,Rural_Arterial_201807,1910,rural,201807
north carolina,201808,Urban_Arterial_201807,5004,urban,201807
north carolina,201808,All_Arterial_201807,10427,all,201807
north dakota,201808,Rural_Arterial_201807,485,rural,201807
north dakota,201808,Urban_Arterial_201807,188,urban,201807
north dakota,201808,All_Arterial_201807,974,all,201807
ohio,201808,Rural_Arterial_201807,1830,rural,201807
ohio,201808,Urban_Arterial_201807,5257,urban,201807
ohio,201808,All_Arterial_201807,10934,all,201807
oklahoma,201808,Rural_Arterial_201807,1279,rural,201807
oklahoma,201808,Urban_Arterial_201807,1807,urban,201807
oklahoma,201808,All_Arterial_201807,4538,all,201807
oregon,201808,Rural_Arterial_201807,1037,rural,201807
oregon,201808,Urban_Arterial_201807,1560,urban,201807
oregon,201808,All_Arterial_201807,3601,all,201807
pennsylvania,201808,Rural_Arterial_201807,2233,rural,201807
pennsylvania,201808,Urban_Arterial_201807,4769,urban,201807
pennsylvania,201808,All_Arterial_201807,9639,all,201807
rhode island,201808,Rural_Arterial_201807,63,rural,201807
rhode island,201808,Urban_Arterial_201807,618,urban,201807
rhode island,201808,All_Arterial_201807,816,all,201807
south carolina,201808,Rural_Arterial_201807,1636,rural,201807
south carolina,201808,Urban_Arterial_201807,2000,urban,201807
south carolina,201808,All_Arterial_201807,4912,all,201807
south dakota,201808,Rural_Arterial_201807,507,rural,201807
south dakota,201808,Urban_Arterial_201807,202,urban,201807
south dakota,201808,All_Arterial_201807,980,all,201807
tennessee,201808,Rural_Arterial_201807,1737,rural,201807
tennessee,201808,Urban_Arterial_201807,3625,urban,201807
tennessee,201808,All_Arterial_201807,7359,all,201807
texas,201808,Rural_Arterial_201807,4885,rural,201807
texas,201808,Urban_Arterial_201807,13735,urban,201807
texas,201808,All_Arterial_201807,24071,all,201807
utah,201808,Rural_Arterial_201807,637,rural,201807
utah,201808,Urban_Arterial_201807,1491,urban,201807
utah,201808,All_Arterial_201807,2960,all,201807
vermont,201808,Rural_Arterial_201807,318,rural,201807
vermont,201808,Urban_Arterial_201807,140,urban,201807
vermont,201808,All_Arterial_201807,747,all,201807
virginia,201808,Rural_Arterial_201807,2037,rural,201807
virginia,201808,Urban_Arterial_201807,4097,urban,201807
virginia,201808,All_Arterial_201807,7676,all,201807
washington,201808,Rural_Arterial_201807,1075,rural,201807
washington,201808,Urban_Arterial_201807,3327,urban,201807
washington,201808,All_Arterial_201807,5841,all,201807
west virginia,201808,Rural_Arterial_201807,579,rural,201807
west virginia,201808,Urban_Arterial_201807,726,urban,201807
west virginia,201808,All_Arterial_201807,1795,all,201807
wisconsin,201808,Rural_Arterial_201807,1871,rural,201807
wisconsin,201808,Urban_Arterial_201807,2524,urban,201807
wisconsin,201808,All_Arterial_201807,6297,all,201807
wyoming,201808,Rural_Arterial_201807,501,rural,201807
wyoming,201808,Urban_Arterial_201807,159,urban,201807
wyoming,201808,All_Arterial_201807,968,all,201807
alabama,201809,Rural_Arterial_201808,1565,rural,201808
alabama,201809,Urban_Arterial_201808,2352,urban,201808
alabama,201809,All_Arterial_201808,6364,all,201808
alaska,201809,Rural_Arterial_201808,146,rural,201808
alaska,201809,Urban_Arterial_201808,206,urban,201808
alaska,201809,All_Arterial_201808,500,all,201808
arizona,201809,Rural_Arterial_201808,1094,rural,201808
arizona,201809,Urban_Arterial_201808,2806,urban,201808
arizona,201809,All_Arterial_201808,5121,all,201808
arkansas,201809,Rural_Arterial_201808,1076,rural,201808
arkansas,201809,Urban_Arterial_201808,1262,urban,201808
arkansas,201809,All_Arterial_201808,3114,all,201808
california,201809,Rural_Arterial_201808,3512,rural,201808
california,201809,Urban_Arterial_201808,21359,urban,201808
california,201809,All_Arterial_201808,30158,all,201808
colorado,201809,Rural_Arterial_201808,1059,rural,201808
colorado,201809,Urban_Arterial_201808,2899,urban,201808
colorado,201809,All_Arterial_201808,5007,all,201808
connecticut,201809,Rural_Arterial_201808,151,rural,201808
connecticut,201809,Urban_Arterial_201808,2030,urban,201808
connecticut,201809,All_Arterial_201808,2806,all,201808
delaware,201809,Rural_Arterial_201808,158,rural,201808
delaware,201809,Urban_Arterial_201808,514,urban,201808
delaware,201809,All_Arterial_201808,962,all,201808
district of columbia,201809,Rural_Arterial_201808,0,rural,201808
district of columbia,201809,Urban_Arterial_201808,231,urban,201808
district of columbia,201809,All_Arterial_201808,326,all,201808
florida,201809,Rural_Arterial_201808,2172,rural,201808
florida,201809,Urban_Arterial_201808,10468,urban,201808
florida,201809,All_Arterial_201808,18838,all,201808
georgia,201809,Rural_Arterial_201808,1642,rural,201808
georgia,201809,Urban_Arterial_201808,5578,urban,201808
georgia,201809,All_Arterial_201808,10125,all,201808
hawaii,201809,Rural_Arterial_201808,88,rural,201808
hawaii,201809,Urban_Arterial_201808,589,urban,201808
hawaii,201809,All_Arterial_201808,1092,all,201808
idaho,201809,Rural_Arterial_201808,650,rural,201808
idaho,201809,Urban_Arterial_201808,527,urban,201808
idaho,201809,All_Arterial_201808,1731,all,201808
illinois,201809,Rural_Arterial_201808,1684,rural,201808
illinois,201809,Urban_Arterial_201808,4992,urban,201808
illinois,201809,All_Arterial_201808,9369,all,201808
indiana,201809,Rural_Arterial_201808,1361,rural,201808
indiana,201809,Urban_Arterial_201808,2876,urban,201808
indiana,201809,All_Arterial_201808,7399,all,201808
iowa,201809,Rural_Arterial_201808,1326,rural,201808
iowa,201809,Urban_Arterial_201808,992,urban,201808
iowa,201809,All_Arterial_201808,3036,all,201808
kansas,201809,Rural_Arterial_201808,987,rural,201808
kansas,201809,Urban_Arterial_201808,1053,urban,201808
kansas,201809,All_Arterial_201808,3026,all,201808
kentucky,201809,Rural_Arterial_201808,1495,rural,201808
kentucky,201809,Urban_Arterial_201808,1649,urban,201808
kentucky,201809,All_Arterial_201808,4443,all,201808
louisiana,201809,Rural_Arterial_201808,1282,rural,201808
louisiana,201809,Urban_Arterial_201808,2350,urban,201808
louisiana,201809,All_Arterial_201808,4746,all,201808
maine,201809,Rural_Arterial_201808,529,rural,201808
maine,201809,Urban_Arterial_201808,283,urban,201808
maine,201809,All_Arterial_201808,1355,all,201808
maryland,201809,Rural_Arterial_201808,646,rural,201808
maryland,201809,Urban_Arterial_201808,3720,urban,201808
maryland,201809,All_Arterial_201808,5538,all,201808
massachusetts,201809,Rural_Arterial_201808,204,rural,201808
massachusetts,201809,Urban_Arterial_201808,4233,urban,201808
massachusetts,201809,All_Arterial_201808,5568,all,201808
michigan,201809,Rural_Arterial_201808,1908,rural,201808
michigan,201809,Urban_Arterial_201808,4737,urban,201808
michigan,201809,All_Arterial_201808,8605,all,201808
minnesota,201809,Rural_Arterial_201808,1524,rural,201808
minnesota,201809,Urban_Arterial_201808,2323,urban,201808
minnesota,201809,All_Arterial_201808,5230,all,201808
mississippi,201809,Rural_Arterial_201808,1181,rural,201808
mississippi,201809,Urban_Arterial_201808,1074,urban,201808
mississippi,201809,All_Arterial_201808,3599,all,201808
missouri,201809,Rural_Arterial_201808,1948,rural,201808
missouri,201809,Urban_Arterial_201808,2792,urban,201808
missouri,201809,All_Arterial_201808,6842,all,201808
montana,201809,Rural_Arterial_201808,728,rural,201808
montana,201809,Urban_Arterial_201808,294,urban,201808
montana,201809,All_Arterial_201808,1502,all,201808
nebraska,201809,Rural_Arterial_201808,844,rural,201808
nebraska,201809,Urban_Arterial_201808,600,urban,201808
nebraska,201809,All_Arterial_201808,1937,all,201808
nevada,201809,Rural_Arterial_201808,421,rural,201808
nevada,201809,Urban_Arterial_201808,1221,urban,201808
nevada,201809,All_Arterial_201808,2410,all,201808
new hampshire,201809,Rural_Arterial_201808,351,rural,201808
new hampshire,201809,Urban_Arterial_201808,594,urban,201808
new hampshire,201809,All_Arterial_201808,1294,all,201808
new jersey,201809,Rural_Arterial_201808,281,rural,201808
new jersey,201809,Urban_Arterial_201808,4742,urban,201808
new jersey,201809,All_Arterial_201808,6606,all,201808
new mexico,201809,Rural_Arterial_201808,930,rural,201808
new mexico,201809,Urban_Arterial_201808,714,urban,201808
new mexico,201809,All_Arterial_201808,2476,all,201808
new york,201809,Rural_Arterial_201808,1576,rural,201808
new york,201809,Urban_Arterial_201808,6884,urban,201808
new york,201809,All_Arterial_201808,11737,all,201808
north carolina,201809,Rural_Arterial_201808,1894,rural,201808
north carolina,201809,Urban_Arterial_201808,4892,urban,201808
north carolina,201809,All_Arterial_201808,10162,all,201808
north dakota,201809,Rural_Arterial_201808,432,rural,201808
north dakota,201809,Urban_Arterial_201808,169,urban,201808
north dakota,201809,All_Arterial_201808,865,all,201808
ohio,201809,Rural_Arterial_201808,1850,rural,201808
ohio,201809,Urban_Arterial_201808,5383,urban,201808
ohio,201809,All_Arterial_201808,10447,all,201808
oklahoma,201809,Rural_Arterial_201808,1440,rural,201808
oklahoma,201809,Urban_Arterial_201808,1829,urban,201808
oklahoma,201809,All_Arterial_201808,4737,all,201808
oregon,201809,Rural_Arterial_201808,1033,rural,201808
oregon,201809,Urban_Arterial_201808,1575,urban,201808
oregon,201809,All_Arterial_201808,3612,all,201808
pennsylvania,201809,Rural_Arterial_201808,2205,rural,201808
pennsylvania,201809,Urban_Arterial_201808,4853,urban,201808
pennsylvania,201809,All_Arterial_201808,9860,all,201808
rhode island,201809,Rural_Arterial_201808,87,rural,201808
rhode island,201809,Urban_Arterial_201808,657,urban,201808
rhode island,201809,All_Arterial_201808,874,all,201808
south carolina,201809,Rural_Arterial_201808,1615,rural,201808
south carolina,201809,Urban_Arterial_201808,2010,urban,201808
south carolina,201809,All_Arterial_201808,4878,all,201808
south dakota,201809,Rural_Arterial_201808,489,rural,201808
south dakota,201809,Urban_Arterial_201808,200,urban,201808
south dakota,201809,All_Arterial_201808,926,all,201808
tennessee,201809,Rural_Arterial_201808,1663,rural,201808
tennessee,201809,Urban_Arterial_201808,3108,urban,201808
tennessee,201809,All_Arterial_201808,6592,all,201808
texas,201809,Rural_Arterial_201808,5064,rural,201808
texas,201809,Urban_Arterial_201808,14102,urban,201808
texas,201809,All_Arterial_201808,24889,all,201808
utah,201809,Rural_Arterial_201808,624,rural,201808
utah,201809,Urban_Arterial_201808,1586,urban,201808
utah,201809,All_Arterial_201808,3113,all,201808
vermont,201809,Rural_Arterial_201808,310,rural,201808
vermont,201809,Urban_Arterial_201808,141,urban,201808
vermont,201809,All_Arterial_201808,743,all,201808
virginia,201809,Rural_Arterial_201808,2025,rural,201808
virginia,201809,Urban_Arterial_201808,4100,urban,201808
virginia,201809,All_Arterial_201808,7738,all,201808
washington,201809,Rural_Arterial_201808,1121,rural,201808
washington,201809,Urban_Arterial_201808,3167,urban,201808
washington,201809,All_Arterial_201808,5603,all,201808
west virginia,201809,Rural_Arterial_201808,590,rural,201808
west virginia,201809,Urban_Arterial_201808,652,urban,201808
west virginia,201809,All_Arterial_201808,1765,all,201808
wisconsin,201809,Rural_Arterial_201808,1799,rural,201808
wisconsin,201809,Urban_Arterial_201808,2430,urban,201808
wisconsin,201809,All_Arterial_201808,5978,all,201808
wyoming,201809,Rural_Arterial_201808,496,rural,201808
wyoming,201809,Urban_Arterial_201808,164,urban,201808
wyoming,201809,All_Arterial_201808,971,all,201808
alabama,201810,Rural_Arterial_201809,1336,rural,201809
alabama,201810,Urban_Arterial_201809,2164,urban,201809
alabama,201810,All_Arterial_201809,5529,all,201809
alaska,201810,Rural_Arterial_201809,116,rural,201809
alaska,201810,Urban_Arterial_201809,187,urban,201809
alaska,201810,All_Arterial_201809,430,all,201809
arizona,201810,Rural_Arterial_201809,898,rural,201809
arizona,201810,Urban_Arterial_201809,2856,urban,201809
arizona,201810,All_Arterial_201809,4871,all,201809
arkansas,201810,Rural_Arterial_201809,833,rural,201809
arkansas,201810,Urban_Arterial_201809,1052,urban,201809
arkansas,201810,All_Arterial_201809,2705,all,201809
california,201810,Rural_Arterial_201809,2860,rural,201809
california,201810,Urban_Arterial_201809,18090,urban,201809
california,201810,All_Arterial_201809,25366,all,201809
colorado,201810,Rural_Arterial_201809,1013,rural,201809
colorado,201810,Urban_Arterial_201809,2591,urban,201809
colorado,201810,All_Arterial_201809,4521,all,201809
connecticut,201810,Rural_Arterial_201809,144,rural,201809
connecticut,201810,Urban_Arterial_201809,1971,urban,201809
connecticut,201810,All_Arterial_201809,2701,all,201809
delaware,201810,Rural_Arterial_201809,153,rural,201809
delaware,201810,Urban_Arterial_201809,523,urban,201809
delaware,201810,All_Arterial_201809,952,all,201809
district of columbia,201810,Rural_Arterial_201809,0,rural,201809
district of columbia,201810,Urban_Arterial_201809,250,urban,201809
district of columbia,201810,All_Arterial_201809,360,all,201809
florida,201810,Rural_Arterial_201809,1944,rural,201809
florida,201810,Urban_Arterial_201809,9765,urban,201809
florida,201810,All_Arterial_201809,17516,all,201809
georgia,201810,Rural_Arterial_201809,1519,rural,201809
georgia,201810,Urban_Arterial_201809,5008,urban,201809
georgia,201810,All_Arterial_201809,9521,all,201809
hawaii,201810,Rural_Arterial_201809,75,rural,201809
hawaii,201810,Urban_Arterial_201809,615,urban,201809
hawaii,201810,All_Arterial_201809,1115,all,201809
idaho,201810,Rural_Arterial_201809,569,rural,201809
idaho,201810,Urban_Arterial_201809,485,urban,201809
idaho,201810,All_Arterial_201809,1560,all,201809
illinois,201810,Rural_Arterial_201809,1461,rural,201809
illinois,201810,Urban_Arterial_201809,4893,urban,201809
illinois,201810,All_Arterial_201809,8609,all,201809
indiana,201810,Rural_Arterial_201809,1320,rural,201809
indiana,201810,Urban_Arterial_201809,2649,urban,201809
indiana,201810,All_Arterial_201809,6871,all,201809
iowa,201810,Rural_Arterial_201809,1197,rural,201809
iowa,201810,Urban_Arterial_201809,953,urban,201809
iowa,201810,All_Arterial_201809,2870,all,201809
kansas,201810,Rural_Arterial_201809,974,rural,201809
kansas,201810,Urban_Arterial_201809,951,urban,201809
kansas,201810,All_Arterial_201809,2695,all,201809
kentucky,201810,Rural_Arterial_201809,1393,rural,201809
kentucky,201810,Urban_Arterial_201809,1427,urban,201809
kentucky,201810,All_Arterial_201809,4027,all,201809
louisiana,201810,Rural_Arterial_201809,797,rural,201809
louisiana,201810,Urban_Arterial_201809,2043,urban,201809
louisiana,201810,All_Arterial_201809,3711,all,201809
maine,201810,Rural_Arterial_201809,476,rural,201809
maine,201810,Urban_Arterial_201809,262,urban,201809
maine,201810,All_Arterial_201809,1228,all,201809
maryland,201810,Rural_Arterial_201809,554,rural,201809
maryland,201810,Urban_Arterial_201809,2941,urban,201809
maryland,201810,All_Arterial_201809,4467,all,201809
massachusetts,201810,Rural_Arterial_201809,201,rural,201809
massachusetts,201810,Urban_Arterial_201809,3938,urban,201809
massachusetts,201810,All_Arterial_201809,5250,all,201809
michigan,201810,Rural_Arterial_201809,1701,rural,201809
michigan,201810,Urban_Arterial_201809,4906,urban,201809
michigan,201810,All_Arterial_201809,8577,all,201809
minnesota,201810,Rural_Arterial_201809,1313,rural,201809
minnesota,201810,Urban_Arterial_201809,2164,urban,201809
minnesota,201810,All_Arterial_201809,4862,all,201809
mississippi,201810,Rural_Arterial_201809,1080,rural,201809
mississippi,201810,Urban_Arterial_201809,998,urban,201809
mississippi,201810,All_Arterial_201809,3230,all,201809
missouri,201810,Rural_Arterial_201809,1867,rural,201809
missouri,201810,Urban_Arterial_201809,2717,urban,201809
missouri,201810,All_Arterial_201809,6660,all,201809
montana,201810,Rural_Arterial_201809,575,rural,201809
montana,201810,Urban_Arterial_201809,215,urban,201809
montana,201810,All_Arterial_201809,1140,all,201809
nebraska,201810,Rural_Arterial_201809,772,rural,201809
nebraska,201810,Urban_Arterial_201809,562,urban,201809
nebraska,201810,All_Arterial_201809,1753,all,201809
nevada,201810,Rural_Arterial_201809,369,rural,201809
nevada,201810,Urban_Arterial_201809,1162,urban,201809
nevada,201810,All_Arterial_201809,2250,all,201809
new hampshire,201810,Rural_Arterial_201809,292,rural,201809
new hampshire,201810,Urban_Arterial_201809,522,urban,201809
new hampshire,201810,All_Arterial_201809,1117,all,201809
new jersey,201810,Rural_Arterial_201809,312,rural,201809
new jersey,201810,Urban_Arterial_201809,4925,urban,201809
new jersey,201810,All_Arterial_201809,6896,all,201809
new mexico,201810,Rural_Arterial_201809,860,rural,201809
new mexico,201810,Urban_Arterial_201809,690,urban,201809
new mexico,201810,All_Arterial_201809,2220,all,201809
new york,201810,Rural_Arterial_201809,1147,rural,201809
new york,201810,Urban_Arterial_201809,6102,urban,201809
new york,201810,All_Arterial_201809,9964,all,201809
north carolina,201810,Rural_Arterial_201809,1683,rural,201809
north carolina,201810,Urban_Arterial_201809,4226,urban,201809
north carolina,201810,All_Arterial_201809,9479,all,201809
north dakota,201810,Rural_Arterial_201809,383,rural,201809
north dakota,201810,Urban_Arterial_201809,159,urban,201809
north dakota,201810,All_Arterial_201809,773,all,201809
ohio,201810,Rural_Arterial_201809,1676,rural,201809
ohio,201810,Urban_Arterial_201809,4823,urban,201809
ohio,201810,All_Arterial_201809,9573,all,201809
oklahoma,201810,Rural_Arterial_201809,1166,rural,201809
oklahoma,201810,Urban_Arterial_201809,1734,urban,201809
oklahoma,201810,All_Arterial_201809,4160,all,201809
oregon,201810,Rural_Arterial_201809,917,rural,201809
oregon,201810,Urban_Arterial_201809,1445,urban,201809
oregon,201810,All_Arterial_201809,3219,all,201809
pennsylvania,201810,Rural_Arterial_201809,1948,rural,201809
pennsylvania,201810,Urban_Arterial_201809,4613,urban,201809
pennsylvania,201810,All_Arterial_201809,9037,all,201809
rhode island,201810,Rural_Arterial_201809,122,rural,201809
rhode island,201810,Urban_Arterial_201809,761,urban,201809
rhode island,201810,All_Arterial_201809,1051,all,201809
south carolina,201810,Rural_Arterial_201809,1395,rural,201809
south carolina,201810,Urban_Arterial_201809,1824,urban,201809
south carolina,201810,All_Arterial_201809,4339,all,201809
south dakota,201810,Rural_Arterial_201809,438,rural,201809
south dakota,201810,Urban_Arterial_201809,177,urban,201809
south dakota,201810,All_Arterial_201809,801,all,201809
tennessee,201810,Rural_Arterial_201809,1486,rural,201809
tennessee,201810,Urban_Arterial_201809,2969,urban,201809
tennessee,201810,All_Arterial_201809,6131,all,201809
texas,201810,Rural_Arterial_201809,4515,rural,201809
texas,201810,Urban_Arterial_201809,13190,urban,201809
texas,201810,All_Arterial_201809,22874,all,201809
utah,201810,Rural_Arterial_201809,558,rural,201809
utah,201810,Urban_Arterial_201809,1372,urban,201809
utah,201810,All_Arterial_201809,2716,all,201809
vermont,201810,Rural_Arterial_201809,255,rural,201809
vermont,201810,Urban_Arterial_201809,125,urban,201809
vermont,201810,All_Arterial_201809,636,all,201809
