State,data_monthid,category,Million_Vehicle_Miles,area,monthid
connecticut,201511,Rural_Arterial_201410,175,rural,201410
maine,201511,Rural_Arterial_201410,513,rural,201410
massachusetts,201511,Rural_Arterial_201410,136,rural,201410
new hampshire,201511,Rural_Arterial_201410,281,rural,201410
new jersey,201511,Rural_Arterial_201410,252,rural,201410
new york,201511,Rural_Arterial_201410,1262,rural,201410
pennsylvania,201511,Rural_Arterial_201410,2144,rural,201410
rhode island,201511,Rural_Arterial_201410,72,rural,201410
vermont,201511,Rural_Arterial_201410,257,rural,201410
delaware,201511,Rural_Arterial_201410,142,rural,201410
district of columbia,201511,Rural_Arterial_201410,0,rural,201410
florida,201511,Rural_Arterial_201410,2078,rural,201410
georgia,201511,Rural_Arterial_201410,1477,rural,201410
maryland,201511,Rural_Arterial_201410,537,rural,201410
north carolina,201511,Rural_Arterial_201410,1772,rural,201410
south carolina,201511,Rural_Arterial_201410,1396,rural,201410
virginia,201511,Rural_Arterial_201410,1878,rural,201410
west virginia,201511,Rural_Arterial_201410,629,rural,201410
illinois,201511,Rural_Arterial_201410,1487,rural,201410
indiana,201511,Rural_Arterial_201410,1477,rural,201410
iowa,201511,Rural_Arterial_201410,1150,rural,201410
kansas,201511,Rural_Arterial_201410,866,rural,201410
michigan,201511,Rural_Arterial_201410,1525,rural,201410
minnesota,201511,Rural_Arterial_201410,1513,rural,201410
missouri,201511,Rural_Arterial_201410,1439,rural,201410
nebraska,201511,Rural_Arterial_201410,807,rural,201410
north dakota,201511,Rural_Arterial_201410,460,rural,201410
ohio,201511,Rural_Arterial_201410,1656,rural,201410
south dakota,201511,Rural_Arterial_201410,425,rural,201410
wisconsin,201511,Rural_Arterial_201410,1730,rural,201410
alabama,201511,Rural_Arterial_201410,1430,rural,201410
arkansas,201511,Rural_Arterial_201410,879,rural,201410
kentucky,201511,Rural_Arterial_201410,1557,rural,201410
louisiana,201511,Rural_Arterial_201410,916,rural,201410
mississippi,201511,Rural_Arterial_201410,1054,rural,201410
